uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"464e9e4b-d283-4df8-9737-b77929b368df","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL.NUT","B00000036619","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","NH4 - N",0.0061,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"077cf09f-1aba-4569-ac3f-ded002b5cd03","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","SO4",6.1451,"milligramsPerLiter",,,3.1,,0,,"OK"
"65f7954c-e61c-40a0-8c9b-a962c032e79f","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","Br",0.7281,"milligramsPerLiter",,,3.1,,0,,"OK"
"40196fd4-ffc1-43ad-aeb9-a357d99be35d","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","F",0.2188,"milligramsPerLiter",,,3.1,,0,,"OK"
"91febf05-3178-4f12-b13e-f373251d431e","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","Cl",2.9355,"milligramsPerLiter",,,3.1,,0,,"OK"
"f3fb4771-d3eb-45cf-ac92-5e50b4e80998","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","HCO3",1726.3122,"milligramsPerLiter",,,3.1,,0,,"OK"
"b0b141f1-e4ba-44cf-94fc-215b6ef477e9","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","TDS",455.8000,"milligramsPerLiter",,,3.1,,0,,"OK"
"7f656b8f-dd46-4611-842c-644659d9e6dc","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","CO3",0.0050,"milligramsPerLiter",,"BDL",3.1,,0,,"OK"
"97f93b67-588d-4207-a812-2f0e132e7d60","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.RAW","A00000104706","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","TSS",13.0000,"milligramsPerLiter",,,3.1,"TSS vol in ml = 100",0,,"OK"
"7c18fdb9-1442-464d-b158-a57ae80fb8c3","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.RAW.NUT","B00000036618","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","TP",0.0357,"milligramsPerLiter","2021-11-22",,-1.0,,0,,"OK"
"abe58523-6c7c-4170-a651-1a21a1ac91e8","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL.NUT","B00000036619","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","Ortho - P",0.0031,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"3d346868-4e8f-43ba-ae07-2934dbd4d7ab","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL.NUT","B00000036619","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","NO2 - N",0.0032,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"8d0c88c2-0a4c-4b44-af76-210cb9d20899","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL.NUT","B00000036619","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","TDP",0.0312,"milligramsPerLiter","2022-01-31",,-1.0,,0,,"OK"
"a9448266-84d4-45bd-8ea0-3683507defcf","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL.NUT","B00000036619","2021-06-15T17:45Z","2021-06-15T17:45Z","Florida International University","NO3+NO2 - N",0.3465,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"a9a9d3dd-1446-4423-9ceb-f9240e76ab9f","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.RAW","A00000104706","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","TOC",1.3540,"milligramsPerLiter",,,3.1,,0,,"OK"
"5122247b-4fd1-42bb-8e53-191857bdab36","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","DOC",2.8230,"milligramsPerLiter",,,3.1,,0,,"OK"
"352a479b-2e56-4972-b607-c4d9984a2d5e","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","DIC",78.5500,"milligramsPerLiter",,,3.1,,0,,"OK"
"ed032dfd-ba74-4cff-8a9e-2fb3e28ae0a5","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","TDN",0.3645,"milligramsPerLiter",,,3.1,,0,,"OK"
"f75648f5-8a25-4722-ae1b-ece7ce80c812","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.RAW","A00000104706","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","TN",0.3585,"milligramsPerLiter",,,3.1,,0,,"OK"
"72845ac3-35f7-436c-98c2-a9582a5cb47a","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0400,,,,3.1,,0,,"OK"
"13b4238d-aaea-40cf-bcc5-74741795813d","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210615.FIL","A00000135154","2021-06-15T17:45Z","2021-06-15T17:45Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0320,,,,3.1,,0,,"OK"
"f3b88b7e-eadd-433b-91b5-cb1cbc2f2ab9","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0250,,,,1.7,,0,,"OK"
"032aa02f-5283-4243-a57b-89cd48f25cb1","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.RAW","A00000104997","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","TSS",3.0000,"milligramsPerLiter",,,1.7,"TSS vol in ml = 100",0,,"OK"
"14e2448a-caf1-47ff-abb3-5c1f65606c54","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.RAW.NUT","B00000036701","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","TP",0.0294,"milligramsPerLiter","2021-11-22",,-1.0,,0,,"OK"
"af77ecf0-fd2f-431a-b111-c67bfd5cdba5","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL.NUT","B00000036702","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","NH4 - N",0.0063,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"c2c25a84-8db7-4d9d-8e20-989eb9f7ef33","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL.NUT","B00000036702","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","NO2 - N",0.0026,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"e4f9f240-004a-48a9-936d-e9807901474a","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL.NUT","B00000036702","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","Ortho - P",0.0025,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"ccd6ad1a-814f-4253-9e2a-832e6a0c7455","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL.NUT","B00000036702","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","NO3+NO2 - N",0.3485,"milligramsPerLiter","2022-01-06",,-1.0,,0,,"OK"
"29f02eef-aa2c-4097-a842-c9f42967244a","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL.NUT","B00000036702","2021-06-17T17:12Z","2021-06-17T17:12Z","Florida International University","TDP",0.0236,"milligramsPerLiter","2022-01-31",,-1.0,,0,,"OK"
"9625defd-00b0-4400-86e6-44d5a8d64db4","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","DIC",82.9500,"milligramsPerLiter",,,1.7,,0,,"OK"
"7aae0e6e-ab76-4fb1-a0ab-4bbffd03ad94","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.RAW","A00000104997","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","TN",0.3455,"milligramsPerLiter",,,1.7,,0,,"OK"
"3988a1ee-bff8-4506-bcd6-f04944a2f3a9","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.RAW","A00000104997","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","TOC",1.2390,"milligramsPerLiter",,,1.7,,0,,"OK"
"1411e487-b58d-493a-bd77-eb3f4fd7c252","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","TDN",0.3263,"milligramsPerLiter",,,1.7,,0,,"OK"
"fa8bf6ce-609e-424e-af44-3ae3bfd670da","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","DOC",1.1990,"milligramsPerLiter",,,1.7,,0,,"OK"
"8611d069-3b7b-40bd-9394-b4bb158f2025","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0190,,,,1.7,,0,,"OK"
"32e9e9f2-a94e-4909-8f29-302d2b213568","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","F",0.0867,"milligramsPerLiter",,,1.7,,0,,"OK"
"99ce8998-0d2d-48ad-b3fb-5d804721e826","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20210617.FIL","A00000135149","2021-06-17T17:12Z","2021-06-17T17:12Z","EcoCore_CSU","SO4",6.2447,"milligramsPerLiter",,,1.7,,0,,"OK"
